NUM_ENREG,NOM_COMMERCIAL,NOM_DCI,DOSAGE,UNITE,CONDITIONNEMENT,CONVENTION,REMBOURSABLE,D_REMBOURSEMENT,D_ARRET_REMB,D_DECISION,TARIF,TAUX,FORME,TAB,HOP,SS,OFF,PAYS,LABO,OBS,CM,CODE_DCI,CODEMEDIC,D_TARIF,MAJORATION_TARIF,TYPE,PRESCRIPTEUR,DATE_INSERTION,DATE_MAJ
1060,KETODERM,KETOCONAZOLE,2,%,B/8 SACHETS,,O,,,,458.4,,23.0,,,,O,,,,,07D092,09507D09298,3/13/2010,,P,,3/13/2010,4/22/2024
420,PROFENID,KETOPROFENE,50,MG,B/24,,O,,,,0.0,,27.0,,O,O,O,,,,,04B016,01604B01696,,,P,10,4/27/2023,4/22/2024
427,KETONAL,KETOPROFENE,100,MG,B/12,,O,,,,166.08,,84.0,,O,O,O,,,,,04B017,18804B01799,10/2/2008,O,G,,10/2/2008,4/22/2024
422,FLEXEN,KETOPROFENE,100,MG,B/12,,O,,,,166.08,,84.0,,O,O,O,,,,,04B017,01004B01798,10/2/2008,O,G,,10/2/2008,4/22/2024
425,KETOPROFENO RATIOPHARM,KETOPROFENE,100,MG,B/12,,O,,,,166.08,,84.0,,O,O,O,,,,,04B017,15604B01799,10/2/2008,,G,,10/2/2008,4/22/2024
424,PROFENID,KETOPROFENE,100,MG,B/12,,O,,,,166.08,,84.0,,O,O,O,,,,,04B017,01604B01798,10/2/2008,,P,,10/2/2008,4/22/2024
1374,DUPHASTON,DYDROGESTERONE,10,MG,B/10,,O,,,,0.0,,14.0,,O,O,O,,,,,09N060,03109N06098,,,P,,4/27/2023,4/22/2024
815,CROTOLOL,ACEBUTOLOL,200MG,MG,B/20,,O,,,,209.8,,143.0,,O,O,O,,,,,06F067,01206F06798,10/2/2008,O,G,,10/2/2008,4/22/2024
822,CROTOLOL,ACEBUTOLOL,400,MG,B/30,,O,,,,582.0,,143.0,,O,O,O,,,,,06F068,01206F06898,10/2/2008,,G,,10/2/2008,4/22/2024
824,ACEBUTOLOL LOGOGEN,ACEBUTOLOL,400,MG,B/56,,O,,,,1086.4,,14.0,,O,O,O,,,,,06F068,14006F06899,10/2/2008,,G,,10/2/2008,4/22/2024
816,SECTRAL,ACEBUTOLOL,200 MG,,B/20,,O,,,,209.8,,143.0,,O,O,O,,,,,06F067,01606F06796,10/2/2008,,P,,10/2/2008,4/22/2024
823,SECTRAL,ACEBUTOLOL,400 MG,,B/30,,O,,,,582.0,,143.0,,O,O,O,213,,,,06F068,01606F06896,10/2/2008,,P,,10/2/2008,4/22/2024
874,DIAMOX,ACETAZOLAMIDE,500,MG,B/25,,O,,,,0.0,,71.0,,O,O,O,,,,,06H083,01606H08396,,,P,,4/27/2023,4/22/2024
875,DIURAZOL,ACETAZOLAMIDE,250,MG,B/24,,O,,,,0.0,,14.0,,O,O,O,,,,,06H084,01006H08498,,,G,,4/27/2023,4/22/2024
876,DIAMOX,ACETAZOLAMIDE,250,MG,B/24,,O,,,,0.0,,14.0,,O,O,O,,,,,06H084,01606H08496,,,P,,4/27/2023,4/22/2024
151,ASPEGIC,ACETYLSALCICYLATE DE LYSINE,1,G,B/6 AMP,,O,,,,0.0,,71.0,,O,O,,,,,,03A023,05703A02398,,,P,,4/27/2023,4/22/2024
145,ASPEGIC,ACETYLSALICYLATE DE LYSINE,100,MG,B/20 SACHETS,,O,,,,117.6,,47.0,,O,O,O,,,"CPR : Remboursable uniquement en usage pédiatrique chez l'enfant de 3 mois à 7 ans dans les indications prévues à l'annexe de la décision d'enregistrement.Le remboursement de ce médicament selon la condition particuliére de rembourement s'effectue sur la base de l'âge du patient figurant sur l'ordonnance, dispensant l'assuré social de l'accord préalable de la caisse de sécurité sociale. (Applicable à compter du 29/10/2017).",,03A002,05703A00297,10/2/2008,,P,,10/2/2008,4/22/2024
149,SPRIDOL,ACETYLSALICYLATE DE LYSINE,900,MG,B/6,,O,,,,0.0,,4.0,,O,O,O,,,,,03A004,19303A00499,,,G,,4/27/2023,4/22/2024
148,ASPEGIC,ACETYLSALICYLATE DE LYSINE,900,MG,B/6,,O,,,,0.0,,71.0,,O,O,O,,,,,03A004,05703A00497,,,P,,4/27/2023,4/22/2024
153,ASPEGIC,ACETYLSALICYLATE DE LYSINE,500MG,MG,B/20,,O,,,,66.8,,47.0,,O,O,O,213,,,,03A025,05703A02597,,,P,10,4/27/2023,4/22/2024
1073,ZOVIRAX,ACICLOVIR,5,%,T/10 G,,O,,,,315.0,,20.0,,O,O,O,,,,,07E033,11207E03398,10/2/2008,,P,,10/2/2008,4/22/2024
1075,ACLOVIR,ACICLOVIR,3,%,T/10 G,,O,,,,315.0,,42.0,,O,O,O,,,,,07E033,18807E03399,10/2/2008,,G,,10/2/2008,4/22/2024
1074,ACICLOVIR,ACICLOVIR,5,%,T/15 G,,O,,,,472.5,,20.0,,O,O,O,,,,,07E033,13507E03398,10/2/2008,,G,,10/2/2008,4/22/2024
1070,CLOVIRAX,ACICLOVIR,5%,%,TUBE/2 G,,O,,,,63.0,,180.0,,O,O,O,213,,,,07E033,03507E03313,10/2/2008,,G,,10/2/2008,4/22/2024
1076,CLOVIR,ACICLOVIR,5,%,T/10 G,,O,,,,315.0,,20.0,,O,O,O,,,,,07E033,19007E03398,10/2/2008,,G,,10/2/2008,4/22/2024
146,CATALGINE,ACIDE ACETYLSALICIQUE SELS,100,MG,B/20,,O,,,,117.6,,47.0,,O,O,O,,,"CPR : Remboursable uniquement en usage pédiatrique chez l'enfant de 3 mois à 7 ans dans les indications prévues à l'annexe de la décision d'enregistrement.Le remboursement de ce médicament selon la condition particulière de remboursement s'effectue sur la base de l'âge du patient figurant sur  l'ordonnance, dispensant l'assuré social de l'accord préalable de la caisse de sécurité sociale.(Applicable à compter du 29/10/2017)",,03A002,20403A00299,10/2/2008,,P,,10/2/2008,4/22/2024
147,CATALGINE,ACIDE ACETYLSALICIQUE SELS,500MG,MG,B/20,,O,,,,66.8,,47.0,,O,O,O,,,,,03A003,20403A00399,,,P,10,4/27/2023,4/22/2024
139,ASPIRINE PH 8,ACIDE ACETYSALICYLIQUE,500MG,MG,B/20,,O,,,,66.8,,14.0,,O,O,O,,,,,03A001,05303A00197,,,P,10,4/27/2023,4/22/2024
141,ECOPIRIN,ACIDE ACETYSALICYLIQUE,500MG,MG,B/20,,O,,,,66.8,,14.0,,O,O,O,,,,,03A001,17703A00198,,,G,10,4/27/2023,4/22/2024
142,ASTAPIN,ACIDE ACETYSALICYLIQUE,500MG,MG,B/20,,O,,,,66.8,,14.0,,O,O,O,,,,,03A001,20003A00199,,,G,10,4/27/2023,4/22/2024
140,ASPRIL 500,ACIDE ACETYSALICYLIQUE,500MG,MG,B/20,,O,,,,66.8,,14.0,,O,O,O,,,,,03A001,06403A00198,,,G,10,4/27/2023,4/22/2024
138,ASPALGIC,ACIDE ACETYSALICYLIQUE,500MG,MG,B/20,,O,,,,66.8,,14.0,,O,O,O,,,,,03A001,00303A00199,,,G,10,4/27/2023,4/22/2024
156,ASPIREFF,ACIDE ACETYSALICYLIQUE,500MG,MG,B/12,,O,,,,40.08,,15.0,,O,O,O,,,,,03A005,05003A00598,,,G,10,4/27/2023,4/22/2024
484,NIFLURIL,ACIDE NIFLUMIQUE,250,MG,B/30,,O,,,,118.5,,27.0,,O,O,O,,,,,04B029,00804B02997,3/13/2010,,P,10,3/13/2010,4/22/2024
485,NIFLURIL,ACIDE NIFLUMIQUE,700,MG,B/8,,O,,,,137.12,,84.0,,,,O,,,,,04B030,00804B03097,3/13/2010,,P,,3/13/2010,4/22/2024
487,NIFLURIL,ACIDE NIFLUMIQUE,400,MG,B/8,,O,,,,108.4,,84.0,,O,O,O,,,,,04B031,00804B03197,10/2/2008,,P,,10/2/2008,4/22/2024
998,RETACNYL,ACIDE TRETINOIQUE,"0,05%",%,T/30 G,,O,,,,219.6,,20.0,,,,O,,,CPR : Remboursable sur prescription du dermatologue,,07B087,12307B08799,10/2/2008,,P,,10/2/2008,4/22/2024
983,ANTIBIO-ABEREL,ACIDE TRETINOIQUE/ERYTHROMYCINE,"0,025",%,T/40 G,,O,,,,0.0,,24.0,,,,O,,,CPR : Remboursable sur prescription du dermatologue.,,07B009,09507B00998,,,P,,4/27/2023,4/22/2024
984,STIEVAMYCIN,ACIDE TRETINOIQUE/ERYTHROMYCINE,"0,025 %/4%",%/4%,T/25 G,,O,,,,0.0,,24.0,,,,O,,,CPR : Remboursable sur prescription du dermatologue,,07B009,12507B00998,,,G,,4/27/2023,4/22/2024
1114,NEOTIGASON,ACITRETINE,25MG,MG,B/30,,O,,,,0.0,,27.0,,O,,O,,,CPR : Remboursable sur prescription du dermatologue .,,07L056,12807L05699,,,P,,4/27/2023,4/22/2024
1115,NEOTIGASON,ACITRETINE,10MG,MG,B/30,,O,,,,0.0,,27.0,,O,O,O,,,CPR : Remboursable  sur prescription du dermatologue .,,07L057,12807L05799,,,P,,4/27/2023,4/22/2024
607,ADRENALINE,ADRENALINE,"0,25",MG/1ML,B/100 AMP,,O,,,,0.0,,71.0,,O,O,O,,,,,06A001,07506A00198,,,P,,4/27/2023,4/22/2024
608,ADRENALINE,ADRENALINE,1,MG/ML,B/100 AMP,,O,,,,0.0,,71.0,,O,O,O,,,,,06A002,07506A00298,,,,,4/27/2023,4/22/2024
609,ADRENALINE,ADRENALINE,1,MG/1ML,B/100 AMP,,O,,,,0.0,,71.0,,O,O,O,,,,,06A002,08406A00298,,,G,,4/27/2023,4/22/2024
519,MAXILASE,ALPHA-AMYLASE,3 000,U CEIP,B/24,,N,,7/27/2003,,0.0,,156.0,,O,O,O,,,,,04C026,05204C02699,,,P,,7/27/2003,4/22/2024
525,DANILASE,ALPHA-AMYLASE,20 000,UI CEI,FL/100 ML,,N,,7/27/2003,,0.0,,56.0,,O,O,O,,,,,04C027,07404C02797,,,G,,7/27/2003,4/22/2024
523,ALPHA -ALPHYLASE,ALPHA-AMYLASE,20 000,UI CEI,FL/125 ML,,N,,7/27/2003,,0.0,,56.0,,O,O,O,,,,,04C027,06404C02797,,,G,,7/27/2003,4/22/2024
520,DANILASE,ALPHA-AMYLASE,3000,"U, CEIP",B/24,,N,,7/27/2003,,0.0,,14.0,,O,O,O,,,,,04C026,07404C02699,,,G,,7/27/2003,4/22/2024
521,MAXILASE,ALPHA-AMYLASE,20 000 U CEIP,U CEIP,FL/200 ML,,N,,7/27/2003,,0.0,,56.0,,O,O,O,,,,,04C027,02604C02798,,,P,,7/27/2003,4/22/2024
1171,RADIOSELECTAN URINAIRE ET VASCULAIRE76%,AMIDOTRIZOATE DE SODIUM ET DE MEGLUMINE,I=370,MG/ML,FL/20 ML,,O,,,,0.0,,71.0,,O,O,O,,,,,08C009,07008C00997,,,P,,4/27/2023,4/22/2024
699,SEDACORON,AMIODARONE,200,MG,B/50,,O,,,,0.0,,14.0,,O,O,O,,,,,06D041,14106D04198,,,G,,4/27/2023,4/22/2024
698,ALDARONE,AMIODARONE,200,MG,B/20,,O,,,,0.0,,14.0,,O,O,O,,,,,06D041,13506D04198,,,G,,4/27/2023,4/22/2024
700,AMIODARONE HCL,AMIODARONE,200,MG,B/30,,O,,,,0.0,,14.0,,O,O,O,,,,,06D041,17806D04198,,,G,,4/27/2023,4/22/2024
697,CORDARONE,AMIODARONE,200,MG,B/30,,O,,,,0.0,,14.0,,O,O,O,,,,,06D041,05206D04198,,,P,,4/27/2023,4/22/2024
831,ATENOLOL-RATIOPHARM,ATENOLOL,100MG,MG,B/28,,O,,,,296.24,,143.0,,O,O,O,,,"En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 364.00DA.",,06F069,08106F06998,3/13/2010,,G,,3/13/2010,4/22/2024
838,VASCOTEN,ATENOLOL,100MG,MG,B/20,,O,,,,211.6,,14.0,,O,O,O,,,"En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 260.00DA.",,06F069,17806F06999,3/13/2010,,G,,3/13/2010,4/22/2024
839,CARDOL,ATENOLOL,100MG,MG,B/20,,O,,,,211.6,,14.0,,O,O,O,,,"En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 260.00DA.",,06F069,19006F06998,3/13/2010,O,G,,3/13/2010,4/22/2024
836,TENORMINE,ATENOLOL,100MG,MG,B/28,,O,,,,296.24,,143.0,,O,O,O,,,"En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 364.00DA.",,06F069,17106F06999,3/13/2010,,P,,3/13/2010,4/22/2024
594,AZATHIOPRINE,AZATHIOPRINE,50,MG,B/100,O,O,,,,0.0,,14.0,,O,O,O,,,,,05B043,16205B04398,,,G,,4/27/2023,4/22/2024
592,IMUREL,AZATHIOPRINE,50,MG,B/100,,O,,,,0.0,,14.0,,O,O,O,,,,,05B043,11205B04399,,,P,,4/27/2023,4/22/2024
1167,MICROPAQUE,BARYUM SULFATE,1,MG/ ML,FL/150 ML,,O,,,,0.0,,88.0,,O,O,O,,,,,08B004,16808B00499,,,P,,4/27/2023,4/22/2024
1160,LOTIBIOL,BENZOATE DE BENZYLE,10,%,FL/180 ML,,O,,,,199.8,,69.0,,O,O,O,213,,,,07R080,00307R08098,3/13/2010,,G,,3/13/2010,4/22/2024
1081,BETACROVIS,BETAMETHASONE,"0,10",%,T/15 G,,O,,,,0.0,,20.0,,O,O,O,,,,,07H038,01207H03898,,,G,,4/27/2023,4/22/2024
1083,BETADERME,BETAMETHASONE,"0,10",%,T/20 G,,O,,,,0.0,,20.0,,O,O,O,,,,,07H038,10907H03899,,,G,,4/27/2023,4/22/2024
1084,PERSIVATE  CREAM,BETAMETHASONE,"0,10",%,T/10 G,,O,,,,0.0,,20.0,,O,O,O,,,,,07H038,14607H03898,,,G,,4/27/2023,4/22/2024
1082,DIPROSONE,BETAMETHASONE,"0,05",%,T/15 G,,O,,,,0.0,,20.0,,O,O,O,,,,,07H038,02707H03898,,,P,,4/27/2023,4/22/2024
1087,BETACROVIS,BETAMETHASONE,"0,05",%,T/30 G,,O,,,,240.0,,41.0,,O,O,O,,,,,07H039,01207H03998,5/29/2012,,G,,5/29/2012,4/22/2024
1090,PERSIVATE OINTEMENT,BETAMETHASONE,"0,10",%,T/10 G,,O,,,,100.0,,40.0,,O,O,O,,,,,07H165,14607H16598,5/29/2012,,G,,5/29/2012,4/22/2024
1086,BETASONE,BETAMETHASONE,"0,1",%,T/15 G,,O,,,,150.0,,41.0,,O,O,O,213,,,,07H165,00307H16503,5/29/2012,,G,,5/29/2012,4/22/2024
1088,DIPROSONE,BETAMETHASONE,"0,05",%,T/15 G,,O,,,,120.0,,41.0,,O,O,O,,,,,07H039,02707H03998,5/29/2012,,P,,5/29/2012,4/22/2024
1091,BETAMET,BETAMETHASONE,"0,10",%,T/10 G,,O,,,,100.0,,41.0,,O,O,O,,,,,07H165,19007H16503,5/29/2012,,G,,5/29/2012,4/22/2024
1093,DIPROSONE,BETAMETHASONE,"0,05",%,FL/15 G,,O,,,,0.0,,100.0,,O,O,O,,,,,07H040,02707H04098,,,P,,4/27/2023,4/22/2024
1094,BETASAL,BETAMETHASONE,"0,05% / 30%",G%,T/15 G,,O,,,,118.95,,41.0,,,,O,,,,,07H041,01207H04198,,,G,,4/27/2023,4/22/2024
1095,DIPROSALIC,BETAMETHASONE,"0,05 % / 30%",G/%,T/15 G,,O,,,,118.95,,41.0,,,,O,,,,,07H041,02707H04197,,,P,,4/27/2023,4/22/2024
1085,KUTERID,BETAMETHAZONE,"0,05",%,T/15 G,,O,,,,0.0,,20.0,,O,O,O,,,,,07H038,18807H03899,,,G,,4/27/2023,4/22/2024
